image_name,original_num_detections,inpainted_num_detections,detection_drop,detection_removal_rate,original_avg_confidence,inpainted_avg_confidence,avg_confidence_drop,original_max_confidence,inpainted_max_confidence,max_confidence_drop,all_detections_removed,partial_removal
image2.jpg,1,1,0,0.0,0.8786494731903076,0.5324738025665283,0.3461756706237793,0.8786494731903076,0.5324738025665283,0.3461756706237793,0,0
image3.jpg,3,0,3,1.0,0.46501554052035016,0.0,0.46501554052035016,0.559920072555542,0.0,0.559920072555542,1,0
image4.jpg,1,0,1,1.0,0.8120008111000061,0.0,0.8120008111000061,0.8120008111000061,0.0,0.8120008111000061,1,0
image5.jpg,1,0,1,1.0,0.8524904847145081,0.0,0.8524904847145081,0.8524904847145081,0.0,0.8524904847145081,1,0
image6.jpg,2,0,2,1.0,0.6742128282785416,0.0,0.6742128282785416,0.8860694169998169,0.0,0.8860694169998169,1,0
image7.jpg,1,0,1,1.0,0.8230147361755371,0.0,0.8230147361755371,0.8230147361755371,0.0,0.8230147361755371,1,0
preview16-4-_jpg.rf.d18622c1f337011b0d63547ad6e8d83a.jpg,1,0,1,1.0,0.8244094252586365,0.0,0.8244094252586365,0.8244094252586365,0.0,0.8244094252586365,1,0
s_123_jpg.rf.7b06860f1b4075c3675bcc85d3bc7a73.jpg,2,0,2,1.0,0.6892456710338593,0.0,0.6892456710338593,0.7275917530059814,0.0,0.7275917530059814,1,0
s_1262_jpg.rf.3f6a1a516a95e46fa46da2c219729177.jpg,1,0,1,1.0,0.8432298302650452,0.0,0.8432298302650452,0.8432298302650452,0.0,0.8432298302650452,1,0
s_1458_jpg.rf.d242186993a2ae4f4875116e4a5f90e8.jpg,2,1,1,0.5,0.3535725623369217,0.5599006414413452,-0.20632807910442352,0.41317468881607056,0.5599006414413452,-0.14672595262527466,0,1
s_1465_jpg.rf.c21d602bc83d8b0e4f5deca176166163.jpg,2,0,2,1.0,0.5866027623414993,0.0,0.5866027623414993,0.8383405804634094,0.0,0.8383405804634094,1,0
s_1672_jpg.rf.f0f41538515daed750ede873dedd19fb.jpg,2,0,2,1.0,0.5774023681879044,0.0,0.5774023681879044,0.750590443611145,0.0,0.750590443611145,1,0
s_1699_jpg.rf.e1764256da1a0560de50b2f401269499.jpg,1,0,1,1.0,0.8637897968292236,0.0,0.8637897968292236,0.8637897968292236,0.0,0.8637897968292236,1,0
