image_name,original_num_detections,inpainted_num_detections,detection_drop,detection_removal_rate,original_avg_confidence,inpainted_avg_confidence,avg_confidence_drop,original_max_confidence,inpainted_max_confidence,max_confidence_drop,all_detections_removed,partial_removal
012403dc87252ad4_jpg.rf.2ce068708cca26257f0e786664c84b0a.jpg,1,0,1,1.0,0.8565856218338013,0.0,0.8565856218338013,0.8565856218338013,0.0,0.8565856218338013,1,0
052d2bdc3c1808f9_jpg.rf.b7ab1c22743cda5b4e43edd36e004a65.jpg,1,2,-1,-1.0,0.8647702932357788,0.2620958536863327,0.6026744395494461,0.8647702932357788,0.2668648958206177,0.5979053974151611,0,0
0ea2787c3a9881ce_jpg.rf.413d32461c827cabe54deff12150b0a5.jpg,1,0,1,1.0,0.8518886566162109,0.0,0.8518886566162109,0.8518886566162109,0.0,0.8518886566162109,1,0
1e715fab6d21ae93_jpg.rf.019b44ce6e15059da13c86ba02842b7a.jpg,1,0,1,1.0,0.7901040315628052,0.0,0.7901040315628052,0.7901040315628052,0.0,0.7901040315628052,1,0
2690a5f91b144c5d_jpg.rf.233464ceb0aa8410f3e4742fa700b539.jpg,1,1,0,0.0,0.5550598502159119,0.7291295528411865,-0.17406970262527466,0.5550598502159119,0.7291295528411865,-0.17406970262527466,0,0
28152607_357060688108880_6719649103946448896_n_jpg.rf.bcc8d5a32fe3536f977e0ee26a3e799c.jpg,2,3,-1,-0.5,0.6340804100036621,0.3397625684738159,0.2943178415298462,0.8104066848754883,0.4236997663974762,0.3867069184780121,0,0
2_left_frame1520_jpg.rf.b018c8345ab79d15a6bc31dd8c9d5c29.jpg,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2_left_frame1610_jpg.rf.21e5d1b950c00785c212504e913d3e9c.jpg,1,0,1,1.0,0.8631097674369812,0.0,0.8631097674369812,0.8631097674369812,0.0,0.8631097674369812,1,0
55f50dcd1355caf5_jpg.rf.cd5e961966605bf1b6e814a3c028e551.jpg,1,0,1,1.0,0.6873286366462708,0.0,0.6873286366462708,0.6873286366462708,0.0,0.6873286366462708,1,0
5c196cbc97a5126d7f0ee8a7be09453e_jpg.rf.952883c7e237dd6d3341cf3218ac7af6.jpg,1,0,1,1.0,0.8729865550994873,0.0,0.8729865550994873,0.8729865550994873,0.0,0.8729865550994873,1,0
64c6a343cb3e03ae_jpg.rf.32894d1c98f7eac57e4d9c088fbe349b.jpg,2,2,0,0.0,0.6259763091802597,0.34932541847229004,0.27665089070796967,0.7909230589866638,0.4456302523612976,0.3452928066253662,0,0
7445b2ff0983a501_jpg.rf.3a885ec40731fde952492dcd90770afc.jpg,1,0,1,1.0,0.8589681386947632,0.0,0.8589681386947632,0.8589681386947632,0.0,0.8589681386947632,1,0
760961d593750514_jpg.rf.75d756292ef0ef5f1105e260a38b986b.jpg,1,2,-1,-1.0,0.8319812417030334,0.3074541240930557,0.5245271176099777,0.8319812417030334,0.3589647114276886,0.47301653027534485,0,0
